UNIDAD,ZONA,PREFECTURA,MOTIVO
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTRAS INFRACCIONES A LA ORDENANZA ADUANAS. LEY 20.780
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY N 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS DE LA LEY N 20.000
1RA. COM. SANTIAGO,OESTE,CENTRAL,JUEGOS DE AZAR
1RA. COM. SANTIAGO,OESTE,CENTRAL,FALSIFICACIÓN LICENCIA DE CONDUCIR Y OTRAS FALSIFICACIONES
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,CONTRA LA PROPIEDAD (OTROS)
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTRAS INFRACCIONES A LA ORDENANZA ADUANAS. LEY 20.780
1RA. COM. SANTIAGO,OESTE,CENTRAL,LESIONES LEVES
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRAFICO (TRAFICO DE PEQUEAS CANTIDADES) (ART. 4)
1RA. COM. SANTIAGO,OESTE,CENTRAL,OTROS DELITOS CONTEMPLADOS EN LA LEY DE PROPIEDAD INTELECTUAL
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE ARMA BLANCA
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE ARMA BLANCA
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTADORES DE FARMACOS
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTADORES DE COCAINA
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTADORES DE COCAINA
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,FEMICIDIO FRUSTRADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,HURTO SIMPLE
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
1RA. COM. SANTIAGO,OESTE,CENTRAL,OCULTACION DE IDENTIDAD EN CONTROL PREVENTIVO. ART. 496 NRO 5. ART. 12
1RA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA CORTANTE O PUNZANTE. ART. 288 BIS
1RA. COM. SANTIAGO,OESTE,CENTRAL,JUEGOS DE AZAR
1RA. COM. SANTIAGO,OESTE,CENTRAL,CONTRABANDO. INFRACCIÓN A LA ORDENANZA DE ADUANAS. ART. 168. LEY 20.780
1RA. COM. SANTIAGO,OESTE,CENTRAL,LESIONES LEVES
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
1RA. COM. SANTIAGO,OESTE,CENTRAL,OCULTACION DE IDENTIDAD EN CONTROL PREVENTIVO. ART. 496 NRO 5. ART. 12 LEY
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,ROBO EN LUGAR NO HABITADO
1RA. COM. SANTIAGO,OESTE,CENTRAL,JUEGOS DE AZAR
1RA. COM. SANTIAGO,OESTE,CENTRAL,JUEGOS DE AZAR
1RA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA BLANCA
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA BLANCA
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA BLANCA
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,LESIONES GRAVES
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,DESORDENES PUBLICOS
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,RIÑA 
2DA. COM. SANTIAGO,OESTE,CENTRAL,RIÑA 
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON VIOLENCIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,RECEPTACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,OBSTRUCCIÓN A LA INVESTIGACIÓN
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTAR ELEMENTOS CONOCIDAMENTE PARA COMETER DELITO 
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON INTIMIDACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON INTIMIDACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON INTIMIDACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ROBO CON INTIMIDACION
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,VIOLENCIA INTRAFAMILIAR (LESIONES LEVES)
2DA. COM. SANTIAGO,OESTE,CENTRAL,OTROS HECHOS QUE INDICA
2DA. COM. SANTIAGO,OESTE,CENTRAL,OTROS HECHOS QUE INDICA
2DA. COM. SANTIAGO,OESTE,CENTRAL,OTROS HECHOS QUE INDICA
2DA. COM. SANTIAGO,OESTE,CENTRAL,"PORTE ILEGAL DE ARMA DE FUEGO, PORTE ILEGAL DE MUNICION, RECEPTACION, INFRACCIÓN ART. 445 DEL C.P. E INF. LEY 20.000"
2DA. COM. SANTIAGO,OESTE,CENTRAL,"PORTE ILEGAL DE ARMA DE FUEGO, PORTE ILEGAL DE MUNICION, RECEPTACION, INFRACCIÓN ART. 445 DEL C.P. E INF. LEY 20.000"
2DA. COM. SANTIAGO,OESTE,CENTRAL,"PORTE ILEGAL DE ARMA DE FUEGO, PORTE ILEGAL DE MUNICION, RECEPTACION, INFRACCIÓN ART. 445 DEL C.P. E INF. LEY 20.000"
2DA. COM. SANTIAGO,OESTE,CENTRAL,"PORTE ILEGAL DE ARMA DE FUEGO, PORTE ILEGAL DE MUNICION, RECEPTACION, INFRACCIÓN ART. 445 DEL C.P. E INF. LEY 20.000"
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,LEY 20.000 ART.10
2DA. COM. SANTIAGO,OESTE,CENTRAL,LEY 20.000 ART.10
