WORDS_TO_REPLACE
DESORDENES PUBLICO
CONDUCIDO  TOQUE QUEDA Y DESORDENES PUBLICOS
ATENTADO Y AMENAZAS CONTRA LA AUTORIDAD Y DESORDENES PUBLICOS}
DESORDENES
"DESORDENES PUBLICOS, DAÑOS SIMPLE Y ART. 318"
DESORDENES PÚBLICOS
ATENTADO CONTRA LA AUTORIDAD Y DESORDENES PUBLICO
"DAÑOS CALIFICADOS, DESORDENES PUBLICOS"
DESORDENES PUBLICOS
DELITO DESORDENES PUBLICOS ART. 269
CONDUCIDO  TOQUE QUEDA Y DESORDENES PUBLICOS
ATENTADO Y AMENAZAS CONTRA LA AUTORIDAD Y DESORDENES PUBLICOS
"DESORDENES PUBLICOS, DAÑOS SIMPLE Y ART. 320"
"DESORDENES PUBLICOS, DAÑOS SIMPLE Y ART. 319"
"INTERRUPCIÓN DE CIRCULACIÓN DE PERSONAS Y/O VEHÍCULOS CON VIOLENCIA, INTIMIDACIÓN U OBSTACULOS"
"INT.CIRCULACION DE PERSONAS Y/O VEH. CON VIOLENCIA, INT"
ARROJAMIENTOS DE PIEDRAS U OTROS OBJETOS
OTROS DELITOS CONTRA EL ORDEN Y S.PUBLICOS COMETIDOS PO
CRIMENES Y SIMPLES DELITOS SEGURIDAD INTERIOR DEL ESTADO
DESOR. VIA PUBLICA
ARROJAMIENTO DE PIEDRAS U OTROS OBJETOS 496 NRO. 26 COD
LEY ANTIBARRICADAS
LEY ANTIENCAPUCHADOS
