WORDS_TO_REPLACE
HURTO SIMPLE POR UN VALOR DE MEDIA A MENOS DE 4 UTM. A.
HURTO SIMPLE POR UN VALOR DE 4 A 40 UTM. ART. 432 Y 446
HURTO SIMPLE
Hurto simple
INFRACCION ARTICULO 454
HURTO FALTA 494 BIS CODIGO PENAL
HURTO SIMPLE POR UN VALOR DE 4 A 40 UTM. ART. 432 Y 446 NRO. 2
HURTO
HURTO FALTA Y 318
HURTO Y ART. 318
"HURTO, TOQUE DE QUEDA"
HURTO DE HALLAZGO ART. 448
HURTO FALTA
HURTO SIMPLE 
HURTO FALTA (494 BIS Codigo Penal)
HURTO FALTA (494 BIS Cdigo Penal)
