WORDS_TO_REPLACE
ART 318 CPP
CONTRA LA SALUD PUBLICA
CONTRA SALUD PUBLICA ARTS.313 D AL 318
INFRINGIR NORMAS HIGIENICAS Y DE SALUBRIDAD ART. 318
ART. 318
CONTRA SALUD PUBLICA. ARTS. 313 D AL 315 Y ART. 317.
CONTRA SALUD PUBLICA ARTS. 313 D AL 315 y ART. 317
INFRINGIR NORMAS HIGIENICAS Y DE SALUBRIDAD
INF. ART. 318 C.P
ART 318
CODIGO SANITARIO
CONTRA SALUD PUBLICA ARTS.313 A Y 313 B
PROPAGAR CONTAGIO A SABIENDAS ART. 318 BIS. 
INFRINGIR NORMAS DE HIGIENICAS Y DE SALUBRIDAD
CONTRA LA SALUD PUBLICA ART. 313 AL 318
CONTRA LA SALUD PUBLICA ART. 313 D AL 315 Y ART. 317
ARTICULO 318 DEL CODIGO PENAL
INFRIMGIR NORMAS IGENICAS Y DE SALUBRIDAD
INFRINGIR NORMAS HIGENICAS   
PROPAGAR CONTAGIOS A SABIENDAS ART. 318 BIS
ART 318 C.P.
INFRINGIR NORMAS HIGIENICAS Y DE SALUBRIDAD 
CONTRA LA SALUD PUBLICA ART. 313 AL 319
CONTRA LA SALUD PUBLICA ART. 313 AL 321
CONTRA LA SALUD PUBLICA ART. 313 AL 320
ART. 318 
ART 318 
CONTRA SALUD PUBLICA. ARTS. 313 D AL 315 Y ART. 317
PROPAGAR CONTAGIO A SABIENDAS ART. 318 BIS
ART. 318 C.P.
