WORDS_TO_REPLACE
Ley. 17.798
"POSESION, TENENCIA O PORTE ILEGAL DE MUNICION ART.9 L.1"
LEY 17.798
"PORTE DE ARMAS PROHIBIDAS (MOLOTOV), BELICA O ESPECIALE"
OTROS DELITOS CONTEMPLADOS EN LA LEY 17.798
"POSESION, TENENCIA O PORTE DE ARMAS SUJETAS A CONTROL (ART. 9 INC. 1) LEY 17.779"
