WORDS_TO_REPLACE
OPONERSE A LA ACCION DE LA AUTORIDAD PUBLICA Y SUS AGENTES
OPONERSE A LA ACCION DE LA AUTORIDAD PÚBLICA
OPONERSE A ACCION DE LA AUTORIDAD PUBLICA O SUS AGENTES. ART. 261 N
AMENAZAS CONTRA LA AUTORIDAD
ATENTADOS Y AMENAZAS CONTRA LA AUTORIDAD ART. 261 NRO.
ROBO CON INTIMIDACION/OTROS DELITOS DE LA LEY DE CONTROL DE ARMAS/OPONERSE ANTE LA AUTORIDAD PUBLICA
ATENTADO CONTRA LA AUTORIDAD
MALTRATO DE OBRA A CARABINEROS ART. 416 BIS CODIGO DE J
AMENAZAS A CARABINEROS ART. 417 CODIGO DE JUSTICIA MILI
MALTRATO DE OBRA A CARABINEROS
ROBO CON IOLENCIA Y MALTRATO DE OBRA A CARABINEROS
ART318/ MALTRATO A CARABINEROS
LESIONES A CARABINEROS/ART 318
ORDEN VIGENTE (AMENAZAS A CARABINEROS)
AMENAZAS A CARABINEROS (Art.417 Código de Justicia Militar)
"MALTRATO DE OBRA, OPONERSE A LA ACCION DE CARABINEROS Y OCULTACION DE IDENTIDAD"
MALTRATO DE OBRA A Carabineros
Art. 495
ART.416 CJM
ART. 210 C.P.
ART.496 CP
ART.417 CJM
"AMEBNAZAS A CARAB. DE SERVICIO , ART. 318 C.P"
OPONERSE A ACC. CARAB.
