WORDS_TO_REPLACE
APREHENDIDO POR ORDEN JUDICIAL
ORDEN VIGENTE
O. VIGENTE
ORDEN JUDICIAL
ORDEN DE DETENCION
ORDEN DETENCION
ORDEN VIGENTE (PORTE DE ARMA CORTANTE O PUNZANTE)
ORDEN VIGENTE POR HURTO FALTA
ORDEN JUDICIAL PENDIENTE
ORDEN VIGENTE  LEY 20.000.-
ORDEN VIGENTE LEY 20.000
APRENDIDO POR ORDEN JUDICIAL
APREHEN. ORDEN JUDICIAL
"ORDEN VIGENTE (445, AMENAZAS SIMPLE, HURTO SIMPLE)"
ORDEN VIGENTE (ROBO CON INTIMIDACION Y HURTO SIMPLE)
ORDEN VIGENTE POR VIOLACION A MENOR DE 14 AÑOS Y OTRO
ORDEN VIGENTE POR ROBO EN BIENES NACIONALES DE USO PUBLICO
ORDE VIGENTE (LESIONES MENOS GRAVES)
ORDEN VIGENTE (AMENAZAS DE ATENTADOS CONTRA PERSONAS Y PROPIEDADES)
ORDEN VIGENTE (VIOLACION DE MENOR A 14 AÑOS Y OTROS)
ORDEN VIGENTE (AMENAZAS SIMPLE CONTRA PERSONAS)
ORDEN VIGENTE (TRAFICO DE PEQUEÑAS CANTIDADES)
ORDEN VIGENTE (ROBO EN LUGAR NO HABITADO)
ORDEN VIGENTE (ROBO CON INTIMIDACION)
ORDEN VIGENTE (VIOLACION DE MORADA)
ORDEN VIGENTE POR R4OBO EN LUGAR NO HABITADO
ORDEN VIGENTE POR HURTO
ROBO EN LUGAR HABITADO ORD. VIGENTE
ORDEN VIGENTE POR HOMICIDIO
ORDEN VIGENTE POR HURTO SIMPLE
ORDEN VIGENTE POR ARRESTO PAGO MULTA
ORDEN VIGENTE POR ROBO CON VIOLENCIA
ORDEN VIGENTE POR AMENAZAS SIMPLES
ORDEN VIGENTE POR MICROTAFICO DE DROGAS
ORDEN VIGENTE (AMENAZAS SIMPLES CONTRA PERSONA Y PROPIEDADES)
ORDEN VIGENTE (HURTO SIMPLE)
ORDEN VIGENTE POR OTROS DELITOS
ORDEN VIGENTE POR HOMICIDIO  
ORDEN VIGENTE POR LESIONES MENOS GRAVES
ORDEN VIGENTE POR TRAFICO EN PEQUEÑAS CANTIDADES
ORDEN VIGENTE POR CUASIDELITO DE LESIONES
ORDEN VIGENTE POR GIRO DOLOSO DE CHEQUES
ORDEN VIGENTE POR ROBO EN LUGAR NO HABITADO 
ORDEN VIGENTE POR LEY DE TRANSITO
ORDEN VIGENTE POR ROBO CON INTIMIDACION
ORDEN VIGENTE POR CONTRABANDO INFRACCION A LA ORDENANZA ADUANAS
ORDEN VIGENTE POR DAÑOS SIMPLES
ORDEN VIGENTE POR MICROTRAFICO
ORDEN VIGENTE POR ROBO BIENES NACIONALES
ORDEN VIGENTE POR ROBO EN LUGAR HABITADO
ORDEN VIGENTE POR MALTRATO DE OBRAS A CARABINEROS
ORDEN VIGENTE  OTOS DELITOS LEY TTO..-
ORDEN VIGENTE  FALSIFICACIO INT. PUBLICO
ORDEN DE ARRESTO
ORDEN VIGENTE 
ORDEN DE DETENCION
APREHEN. POR ORDEN JUDICIAL
ORDEN JUDICIAL
